名称,地区,年代,标签
海贼王,日本,2000年之前,搞笑 热血 冒险 奇幻 童年 励志 
美食的俘虏（美食猎人TORIKO）,日本,热血,冒险 ufotable 
全职猎人重制版分集剧情介绍（全148集）,日本,2011年10月,热血 冒险 童年 动作 MADHOUSE STUDIO DEEN 
网球王子国语版,日本,2010年之前,搞笑 运动 热血 励志 
滑头鬼之孙 千年魔京,日本,2010年7月,热血 冒险 奇幻 STUDIO DEEN 
钢之炼金术师FA,日本,2010年之前,热血 冒险 奇幻 励志 动作 BONES XEBEC 
银魂,日本,2010年之前,搞笑 热血 日昇动画 
网球优等生第二季,日本,2015年4月,运动 热血 
游戏王ARC-V,日本,科幻,热血 冒险 
龙珠超,日本,2015年7月,热血 冒险 奇幻 动作 
钻石王牌第二季,日本,2015年4月,热血 Production I.G 
心理测量者剧场版,日本,2015年1月,科幻 热血 冒险 动作 剧场版 Production I.G 
火影忍者剧场版,日本,2010年之前,热血 冒险 励志 动作 剧场版 
怪化猫,日本,2010年之前,推理 热血 奇幻 
恋姬无双,日本,2010年之前,游戏 热血 恋爱 动画工房 
一拳超人,日本,2015年10月,搞笑 热血 动作 MADHOUSE 
排球少年第二季,日本,2014年4月,运动 青春 热血 Production I.G 
机动战士高达铁血的奥尔芬斯,日本,2015年10月,机战 热血 奇幻 日昇动画 
DD北斗神拳2 草莓味,日本,2015年10月,热血 动作 
牙狼 红莲之月,日本,2015年10月,热血 奇幻 MAPPA 
卡片战斗先导者G,日本,2015年10月,游戏 热血 奇幻 TMS娱乐 XEBEC 
驱魔少年,日本,2010年之前,热血 冒险 奇幻 TMS娱乐 
钢之炼金术师第一季,日本,2010年之前,热血 冒险 奇幻 励志 动作 BONES XEBEC 
龙珠Z：复活的F,日本,2015年4月,热血 冒险 奇幻 剧场版 
洪门剑灵传说,日本,2014年4月,游戏 热血 冒险 奇幻 
银魂剧场版,日本,2010年10月,搞笑 热血 剧场版 日昇动画 
犬夜叉完结篇,日本,2010年之前,热血 奇幻 童年 日昇动画 
犬夜叉,日本,2010年之前,热血 奇幻 童年 日昇动画 
RWBY 第三季,欧美,2015年10月,热血 百合 泡面番 动作 
天元突破红莲之眼,日本,2010年之前,机战 热血 XEBEC 
鬼眼狂刀,日本,2010年之前,热血 冒险 童年 动作 STUDIO DEEN 
亚人,日本,2016年1月,热血 冒险 奇幻 
疾走王子,日本,2016年1月,运动 游戏 青春 热血 乙女 
乱马1/2,日本,2000年之前,热血 冒险 恋爱 动作 STUDIO DEEN 
剑风传奇,日本,2000年之前,热血 冒险 动作 
头文字D 5部合集,日本,2000年之前,运动 青春 热血 恋爱 Synergy SP 
战姬绝唱第一季,日本,搞笑,机战 热血 冒险 奇幻 SATELIGHT 
浪客剑心,日本,2000年之前,热血 冒险 动作 STUDIO DEEN 
妖精的尾巴ZERO,日本,2016年1月,热血 冒险 A-1 Pictures 
我是大哥大,日本,2000年之前,热血 
一拳超人OAD,日本,2015年10月,搞笑 热血 
恶魔奶爸,日本,搞笑,装逼 热血 奇幻 励志 Studio Pierrot 
史上最强弟子兼一,日本,2010年之前,搞笑 热血 动作 TMS娱乐 
史上最强弟子兼一黑暗的袭击,日本,搞笑,热血 动作 
史上最强弟子兼一OVA,日本,2012年10月,搞笑 热血 动作 
舞武器舞乱伎,日本,2016年1月,科幻 机战 热血 
幻灵镇魂曲,日本,2010年之前,游戏 热血 冒险 BEE TRAIN 
潮与虎,日本,2015年7月,热血 冒险 奇幻 MAPPA 
机动战士高达 雷霆宙域战线,日本,热血,剧场版 日昇动画 
少女与战车,日本,2012年10月,搞笑 热血 百合 Graphinica 
圣斗士星矢冥王神话,日本,2010年之前,热血 童年 动作 TMS娱乐 
机动战士高达OO第二季,日本,科幻,热血 日昇动画 
黑神,日本,2010年之前,热血 冒险 奇幻 日昇动画 
我的英雄学院,日本,2016年4月,热血 冒险 动作 BONES 
巴哈姆特之怒第二季,日本,2017年4月,热血 冒险 奇幻 
文豪野犬,日本,2016年4月,热血 奇幻 乙女 动作 BONES 
至高指令,日本,2016年4月,搞笑 热血 奇幻 Asread XEBEC 
火星异种第二季,日本,2016年4月,科幻 热血 冒险 动作 
潮与虎第二季,日本,2016年4月,热血 冒险 奇幻 MAPPA 
JOJO的奇妙冒险 不灭钻石,日本,2016年4月,热血 冒险 奇幻 
战斗陀螺Burst,日本,2016年4月,热血 冒险 OLM Synergy SP 
甲铁城的卡巴内瑞,日本,2016年4月,热血 奇幻 动作 WIT STUDIO 
炸猪排DJ扬太郎,日本,2016年4月,搞笑 热血 STUDIO DEEN 
黑街,日本,2015年7月,热血 动作 
战姬绝唱Symphogear GX,日本,2015年7月,搞笑 机战 热血 冒险 奇幻 SATELIGHT 
噬神者,日本,2015年7月,游戏 机战 热血 ufotable 
夜之小双侠,日本,2015年1月,热血 冒险 龙之子Production 
战国无双,日本,2015年1月,游戏 热血 冒险 NAS TYO Animation 
境界动漫全集,日本,2010年之前,热血 冒险 动作 Studio Pierrot 
青之驱魔师,日本,热血,冒险 奇幻 A-1 Pictures 
K,日本,2012年10月,热血 
K 诸王归来,日本,2015年10月,热血 轻小说 奇幻 
一拳超人OVA,日本,2015年10月,搞笑 热血 
K 剧场版,日本,2014年7月,热血 剧场版 
某科学的超电磁炮S,日本,2013年4月,热血 冒险 奇幻 百合 J.C.STAFF 
某科学的超电磁炮,日本,2010年之前,热血 冒险 奇幻 百合 J.C.STAFF 
全职猎人剧场版,日本,2011年10月,热血 冒险 奇幻 童年 动作 剧场版 
Re:␣浜虎,日本,2014年7月,推理 热血 冒险 奇幻 Lerche 
黑猫,日本,2010年之前,搞笑 推理 热血 动作 GONZO 
JOJO的奇妙冒险,日本,2012年10月,热血 冒险 奇幻 
剑豪生死斗,日本,2010年之前,热血 动作 MADHOUSE 
网球优等生第一季,日本,2014年4月,运动 热血 Studio Pierrot 
棋魂,日本,2010年之前,运动 热血 童年 Studio Pierrot 
军火女王,日本,热血,冒险 动作 WHITE FOX 
排球少年 第一季,日本,2014年4月,运动 青春 热血 Production I.G 
记录的地平线 第二季,日本,2014年10月,游戏 热血 轻小说 冒险 STUDIO DEEN 
记录的地平线,日本,2013年10月,游戏 热血 轻小说 冒险 SATELIGHT 
RWBY 第一季,欧美,2013年7月,热血 百合 泡面番 动作 
RWBY 第二季,欧美,2014年7月,热血 百合 泡面番 动作 
中华小当家国语版,日本,2000年之前,热血 冒险 励志 日本动画公司 
浪客剑心追忆篇&星霜篇,日本,2000年之前,热血 冒险 动作 
浪客剑心剧场版,日本,2010年之前,热血 冒险 动作 剧场版 
浪客剑心真人版,日本,热血,冒险 动作 
空之境界,日本,热血,冒险 美少女 动作 
破刃之剑,日本,2014年4月,机战 热血 动作 XEBEC 
神幻拍档07-GHOST,日本,2010年之前,热血 冒险 动作 STUDIO DEEN 
火星异种,日本,科幻,恐怖 热血 TYO Animation 
噬魂师,日本,2010年之前,热血 冒险 动作 BONES 
天才麻将少女第一季,日本,2010年之前,搞笑 运动 萝莉 热血 GONZO 
妖精的尾巴 第二季,日本,2010年之前,热血 冒险 奇幻 A-1 Pictures 
妖精的尾巴,日本,2010年之前,热血 冒险 奇幻 SATELIGHT A-1 Pictures 
黑子的篮球 第一季,日本,2012年4月,运动 青春 热血 乙女 Production I.G 
黑子的篮球 第二季,日本,2013年10月,运动 青春 热血 乙女 Production I.G 
黑子的篮球 第三季,日本,2015年1月,运动 青春 热血 乙女 Production I.G 
飙速宅男,日本,2013年10月,运动 青春 热血 TMS娱乐 
飙速宅男 第二季,日本,2014年10月,运动 青春 热血 TMS娱乐 
Fate/Stay night,日本,2010年之前,游戏 热血 奇幻 恋爱 动作 STUDIO DEEN 
Fate/Zero 第二季,日本,2012年4月,游戏 热血 奇幻 恋爱 动作 ufotable 
Fate/Zero 第一季,日本,2011年10月,游戏 热血 奇幻 恋爱 动作 
Fate/stay night [Unlimited Blade Works],日本,2010年1月,游戏 热血 奇幻 恋爱 动作 
Fate/stay night UBW 第二季,日本,2015年4月,游戏 热血 奇幻 恋爱 动作 
斩服少女,日本,2013年10月,搞笑 热血 奇幻 
天才麻将少女 全国篇,日本,2014年1月,搞笑 运动 萝莉 热血 Studio五组 
天才麻将少女 阿知贺篇,日本,2012年4月,搞笑 运动 萝莉 热血 Studio五组 
滑头鬼之孙 第一季,日本,2010年7月,热血 冒险 奇幻 STUDIO DEEN 
JOJO的奇妙冒险 星尘斗士,日本,2014年4月,热血 冒险 奇幻 
Code Geass亡国的阿基德,日本,2012年7月,热血 冒险 动作 
信长协奏曲,日本,2014年7月,热血 奇幻 
乒乓,日本,2014年4月,运动 青春 热血 
烈火之炎,日本,2000年之前,热血 冒险 动作 Studio Pierrot 
ZETMAN超魔人,日本,机战,热血 冒险 TMS娱乐 
黑之契约者 第一季,日本,2010年之前,科幻 热血 动作 BONES 
黑之契约者 第二季,日本,2010年之前,科幻 热血 动作 BONES 
限制级杀手,日本,2013年10月,搞笑 热血 
王牌投手 振臂高挥,日本,2010年之前,运动 青春 热血 A-1 Pictures 
剑风传奇黄金时代篇,日本,热血,冒险 动作 剧场版 STUDIO 4℃ 
少女与战车剧场版,日本,科幻,热血 百合 剧场版 Graphinica 
战国Collection,日本,2012年4月,游戏 热血 奇幻 NAS Brains Base 
黑礁第一季&第二季&第三季,日本,热血,冒险 美少女 动作 MADHOUSE 
皇家国教骑士团（地狱之歌）,日本,2010年之前,热血 动作 
科学小飞侠Crowds,日本,2013年7月,科幻 热血 冒险 龙之子Production 
战姬绝唱第二季,日本,搞笑,科幻 机战 热血 美少女 SATELIGHT 
七龙珠Z,日本,2000年之前,热血 奇幻 童年 动作 
战斗之魂第八季,日本,2016年4月,科幻 热血 冒险 动作 
银魂°,日本,2015年4月,搞笑 热血 日昇动画 
银魂第二季,日本,2011年4月,搞笑 热血 日昇动画 
兄弟情 最终幻想15,日本,2016年4月,游戏 热血 冒险 动作 
勇午交涉人,日本,2010年之前,热血 ARTLAND 
妖精的尾巴OAD,日本,2016年4月,热血 冒险 
武装炼金,日本,2010年之前,科幻 热血 冒险 动作 XEBEC 
画江湖之不良人,中国,热血,冒险 恋爱 励志 动作 
战国少女～桃色异传～,日本,2011年4月,科幻 治愈系 游戏 热血 
钢壳都市雷吉欧斯,日本,科幻,热血 轻小说 后宫 动作 ZEXCS 
鲁邦三世 剧场版合集,日本,热血,冒险 恋爱 动作 剧场版 TMS娱乐 
鲁邦三世 特别篇合集,日本,热血,冒险 恋爱 动作 
决斗大师VSRF,日本,2016年4月,热血 冒险 励志 A・C・G・T 
光能使者,日本,2000年之前,热血 童年 日昇动画 
剑风传奇第二季,日本,2016年7月,热血 冒险 动作 
星界之战旗,日本,2010年之前,热血 轻小说 奇幻 
星界之战旗第二季,日本,2010年之前,热血 轻小说 奇幻 
星界之战旗第三季,日本,2010年之前,热血 奇幻 
战国魔神,日本,2000年之前,科幻 热血 
北斗神拳,日本,2000年之前,热血 冒险 童年 动作 
Disintegration 分解世界,中国,2016年4月,热血 
灵能百分百,日本,2016年7月,青春 热血 冒险 奇幻 动作 BONES 
疯味英雄,中国,2015年10月,热血 冒险 
驱魔少年 第二季无暗牧,日本,2016年7月,热血 冒险 奇幻 TMS娱乐 
食戟之灵 第二季,日本,2016年7月,热血 后宫 J.C.STAFF 
时空幻境 情热传说 the X,日本,2016年7月,热血 冒险 奇幻 ufotable 
北斗神拳剧场版之拉奥传 激斗之章,日本,热血,冒险 童年 动作 剧场版 
足球小将 goal！,日本,2010年之前,运动 热血 励志 动作 MADHOUSE Studio Pierrot 
高达创战者TRY 岛上热战,日本,2016年7月,机战 热血 冒险 奇幻 
英雄人,日本,2010年4月,热血 BONES XEBEC 
卡片战斗先导者,日本,2011年1月,游戏 热血 奇幻 OLM TMS娱乐 
天上天下,日本,2010年之前,热血 冒险 动作 MADHOUSE IMAGIN 
战国BASARA,日本,搞笑,游戏 热血 冒险 动作 Production I.G Brains Base 
快盗天使TWIN ANGEL,日本,2011年7月,热血 百合 J.C.STAFF 
杀戮幻影-从零开始的反叛,日本,2016年4月,游戏 热血 冒险 剧场版 
爆旋陀螺钢铁战魂,日本,2010年之前,热血 
幽游白书,日本,2000年之前,热血 冒险 动作 Studio Pierrot 
煌罗万象,日本,2010年之前,热血 恋爱 乙女 
机动战士高达0079,日本,机战,热血 日昇动画 
机动战士高达Z,日本,2000年之前,机战 热血 日昇动画 
机动战士高达ZZ,日本,2000年之前,机战 热血 日昇动画 
机动战士V高达,日本,2000年之前,机战 热血 
铳墓,日本,2010年之前,游戏 热血 MADHOUSE 
机动武斗传G高达,日本,2000年之前,机战 热血 
新机动战记高达W,日本,2000年之前,机战 热血 冒险 
机动新世纪高达X,日本,2000年之前,机战 热血 
机动战士高达逆A,日本,2000年之前,机战 热血 XEBEC 日昇动画 
异世界的圣机师物语,日本,科幻,热血 
机巧魔神,日本,电击文库,热血 恋爱 XEBEC 
机巧魔神第二季,日本,电击文库,热血 恋爱 XEBEC 
野狼前锋,日本,2010年之前,运动 热血 励志 
白色猎人,日本,2000年之前,耽美 热血 励志 乙女 ufotable 
白色猎人第二季,日本,2010年之前,耽美 热血 励志 乙女 
白色猎人OVA,日本,2000年之前,耽美 热血 励志 乙女 
和殿下一起,日本,2010年7月,搞笑 耽美 热血 
头文字D剧场版,日本,运动,青春 热血 恋爱 剧场版 
战国Fan,中国,2016年7月,搞笑 热血 
格斗美神武龙,日本,2010年之前,热血 美少女 动作 TMS娱乐 
格斗美神武龙 第二季,日本,2010年之前,热血 动作 
翼神传说,日本,2010年之前,机战 热血 BONES 
翼神传说OVA,日本,2010年之前,机战 热血 BONES 
Brave10,日本,2012年4月,热血 乙女 动作 
绝狼-BLACK BLOOD,日本,2014年4月,真人 热血 动作 XEBEC 
四叶游戏,日本,2010年之前,运动 热血 Synergy SP 
假面骑士KABUTO,日本,2010年之前,真人 热血 奇幻 
圣石小子,日本,2010年之前,热血 冒险 奇幻 STUDIO DEEN 
食梦者第一季,日本,2010年10月,青春 热血 恋爱 励志 J.C.STAFF 
食梦者第二季,日本,2011年10月,青春 热血 恋爱 励志 J.C.STAFF 
食梦者第三季,日本,2012年10月,青春 热血 恋爱 励志 J.C.STAFF 
钢铁神兵,日本,2000年之前,机战 热血 奇幻 TMS娱乐 
钢铁神兵第二季,日本,2000年之前,机战 热血 奇幻 
东京魔人学园剑风帖,日本,热血,
零秒出手,日本,运动,热血 恋爱 动作 TMS娱乐 
一课一练,中国,2016年10月,搞笑 热血 
新世纪福音战士EVA剧场版,日本,2010年之前,机战 热血 冒险 童年 剧场版 
Under the Dog,日本,恐怖,热血 冒险 奇幻 剧场版 
枪冢,日本,2010年之前,热血 冒险 
神魂合体,日本,2010年之前,热血 冒险 恋爱 OLM 
神魂合体第二季,日本,2010年之前,热血 冒险 恋爱 
微笑的闪士,日本,热血,冒险 美少女 
钢铁守护者,日本,2010年之前,机战 热血 GONZO 
重金摇滚双面人,日本,2010年之前,搞笑 青春 热血 STUDIO 4℃ 
凹凸世界,中国,2016年7月,搞笑 热血 冒险 
火星异种真人版,日本,2016年4月,科幻 真人 恐怖 热血 
空霸,日本,2010年之前,运动 热血 动作 
风魔小次郎,日本,2010年之前,热血 冒险 奇幻 励志 
机动战士钢弹：铁血的孤儿 第2季,日本,2016年10月,机战 热血 奇幻 日昇动画 
侍统,日本,热血,
文豪野犬第二季,日本,2016年10月,热血 奇幻 乙女 动作 BONES 
亚人 第2季,日本,2016年10月,热血 冒险 奇幻 
排球少年第三季,日本,2016年10月,运动 青春 热血 Production I.G 
杀人科,日本,2000年之前,热血 动作 
火线传奇,中国,游戏,热血 冒险 
终末的伊泽塔,日本,2016年10月,热血 奇幻 百合 
杀人科第二季,日本,2010年之前,热血 动作 
钢铁侦探J,日本,2010年之前,科幻 热血 冒险 SATELIGHT 
竞女!!!!!!!!,日本,2016年10月,运动 热血 励志 动作 
足球风云,日本,2000年之前,运动 热血 
舞武器舞乱伎 第二季,日本,2016年10月,科幻 机战 热血 
老虎假面W,日本,2016年10月,热血 冒险 动作 
火线传奇第二季,中国,2016年7月,游戏 热血 动作 
新三一万能侠,日本,2010年之前,科幻 机战 热血 
疾速方程式,日本,2010年之前,运动 热血 励志 
兽王星,日本,科幻,热血 BONES 
圣光不好惹,中国,2017年4月,游戏 热血 
装甲骑兵 佩鲁森档案,日本,科幻,热血 
拳王创世纪,日本,热血,动作 
日式面包王,日本,2010年之前,搞笑 热血 励志 日昇动画 
圣光之翼,日本,2010年之前,机战 热血 
植木的法则,日本,2010年之前,搞笑 热血 冒险 励志 STUDIO DEEN 
致命紫罗兰编号044,日本,科幻,热血 冒险 
高尔夫小子,日本,2010年之前,运动 热血 励志 
战争程序员白濑,日本,2010年之前,科幻 热血 冒险 
熊猫Z,日本,2010年之前,搞笑 机战 热血 
超级方程式,日本,运动,热血 
flag,日本,科幻,热血 
龙的牙医,日本,2017年1月,青春 热血 冒险 奇幻 
青之驱魔师第二季,日本,2017年1月,热血 冒险 奇幻 A-1 Pictures 
武装机甲,日本,热血,动作 GONZO 
无限之住人,日本,热血,冒险 动作 BEE TRAIN 
随风飘的月影兰,日本,热血,美少女 MADHOUSE 
银装骑攻Ordian,日本,2010年之前,机战 热血 美少女 
机动警察REBOOT,日本,机战,热血 冒险 剧场版 
妖精的尾巴剧场版,日本,热血,冒险 奇幻 动作 剧场版 A-1 Pictures 
鬼平犯科帐,日本,2017年1月,热血 冒险 动作 TMS娱乐 
曙光少女,日本,2010年之前,科幻 机战 热血 美少女 GONZO 
勇者王,日本,2000年之前,机战 热血 动作 
勇者王OVA,日本,2000年之前,机战 热血 
银魂第四季,日本,2017年1月,热血 冒险 奇幻 动作 日昇动画 
时空幻境 情热传说 the X 第二季,日本,2017年1月,热血 冒险 奇幻 ufotable 
勇者王FINAL_GGG,日本,2010年之前,机战 热血 动作 
宠物小精灵 剧场版合集（日语）,日本,热血,冒险 奇幻 童年 剧场版 OLM 
幻影斗士,日本,2010年之前,热血 奇幻 
飞轮少年,日本,2010年之前,运动 热血 
勇者传说,日本,2000年之前,热血 冒险 奇幻 
政宗DATENICLE,日本,热血,冒险 奇幻 
刃牙道,日本,热血,冒险 动作 TMS娱乐 
银河机攻队剧场版,日本,科幻,机战 热血 剧场版 Seven Arcs 
七人魔法使剧场版,日本,热血,冒险 奇幻 剧场版 Seven Arcs 
游戏王剧场版,日本,2000年之前,科幻 热血 冒险 剧场版 NAS 
我的英雄学院 第二季,日本,2017年4月,热血 冒险 奇幻 动作 BONES 
博人传,日本,2017年4月,热血 冒险 奇幻 Studio Pierrot 
Re:CREATORS,日本,2017年4月,热血 冒险 奇幻 Nomad 
剑姬神圣谭,日本,2017年4月,热血 冒险 奇幻 J.C.STAFF 
银河机攻队,日本,2013年4月,科幻 机战 热血 
游戏王VRAINS,日本,2017年4月,热血 冒险 奇幻 NAS 
剑风传奇第二季 续,日本,2017年4月,热血 冒险 动作 
战斗陀螺Burst 第二季,日本,2017年4月,热血 动作 Synergy SP 
银魂 精选集,日本,2017年4月,热血 冒险 奇幻 动作 日昇动画 
UNDER THE DOG,日本,2017年4月,科幻 青春 热血 剧场版 
火线传奇第三季,中国,热血,冒险 
黑色五叶草,日本,2017年10月,青春 热血 Studio Pierrot Triple A 
棒球大联盟 第4季,日本,热血,励志 Synergy SP 
苍天航路,日本,2010年之前,热血 MADHOUSE 
棒球大联盟 第六季,日本,热血,励志 Synergy SP 
棒球大联盟 第五季,日本,热血,励志 Synergy SP 
再造人卡夏,日本,2010年之前,机战 热血 
棒球大联盟 第一季,日本,热血,励志 
棒球大联盟 第二季,日本,热血,励志 
棒球大联盟 第三季,日本,热血,励志 
霹雳神州II之苍玄泣,2010年之前,热血,
信蜂,日本,热血,冒险 Studio Pierrot 
舞动青春,日本,2017年7月,青春 热血 Production I.G 
时间支配者,日本,2017年7月,热血 动作 
NEEDLESS 超能力大战,日本,热血,冒险 IMAGIN 
机动战士高达 Twilight AXIS,日本,热血,日昇动画 
捷德奥特曼,日本,2017年7月,热血 冒险 奇幻 动作 
绝行者,中国,热血,
银魂·走光篇,日本,2017年10月,搞笑 热血 冒险 日昇动画 
Infini-T Force,日本,2017年10月,科幻 热血 龙之子Production 
牙狼 -VANISHING LINE-,日本,2017年10月,热血 冒险 动作 MAPPA 
十二大战,日本,2017年10月,热血 冒险 奇幻 Graphinica 
血界战线第二季,日本,2017年10月,热血 冒险 奇幻 BONES 
食戟之灵 第三季,日本,2017年10月,热血 后宫 J.C.STAFF 
黑子的篮球 last game,日本,青春,热血 动作 剧场版 
少女与战车 OVA,日本,2012年10月,搞笑 热血 百合 Graphinica 
少女与战车 OVA2,日本,2017年10月,搞笑 热血 百合 Graphinica 
岸边露伴一动不动,日本,热血,冒险 奇幻 剧场版 
飙速宅男 第四季,日本,2018年1月,运动 青春 热血 TMS娱乐 
牙斗兽娘,日本,2018年1月,热血 奇幻 动作 
逆光之颤,中国,2017年10月,热血 冒险 奇幻 
新干线变形机器人,日本,2018年1月,热血 冒险 奇幻 OLM 
银魂第五季：银之魂篇,日本,2018年1月,热血 冒险 奇幻 动作 日昇动画 
钢之炼金术师 剧场版,日本,2010年之前,热血 冒险 奇幻 励志 动作 剧场版 
火影忍者究极风暴 CG,日本,游戏,热血 冒险 Seven Arcs Studio Pierrot 
鲁邦三世 -名为峰不二子的女人-,日本,2014年4月,热血 冒险 恋爱 动作 TMS娱乐 
MEGALO BOX,日本,2018年4月,热血 冒险 动作 TMS娱乐 
高校学园D×D HERO,日本,2018年4月,热血 后宫 奇幻 
足球小将翼,日本,2018年4月,运动 热血 励志 
敢达创战者Divers,日本,2018年4月,机战 热血 
捷德奥特曼剧场版,日本,2018年4月,热血 冒险 奇幻 动作 剧场版 
我的英雄学院 第三季,日本,2018年4月,热血 冒险 奇幻 动作 BONES Triple A 
棒球大联盟 2nd,日本,2018年4月,热血 励志 
苍天之拳REGENESIS,日本,2018年4月,热血 冒险 动作 
食戟之灵第三季 远月列车篇,日本,2018年4月,热血 后宫 J.C.STAFF Triple A 
少女与战车 最终章,日本,搞笑,热血 百合 Graphinica 
魔神Z剧场版,日本,2018年4月,机战 热血 剧场版 
RWBY 第五季,欧美,2018年1月,热血 动作 
战斗陀螺 爆裂 超Z,日本,2018年4月,运动 热血 冒险 OLM Synergy SP 
破刃之剑剧场版合集,日本,2010年之前,机战 热血 动作 剧场版 
二舍六房的七人（少年犯之七人）,日本,热血,励志 MADHOUSE 
卡片战斗先导者 2018,日本,2018年4月,游戏 热血 奇幻 
恋姬无双·乙女大乱,日本,2010年4月,游戏 热血 恋爱 乙女 动画工房 
真·恋姬无双,日本,2010年之前,游戏 热血 恋爱 乙女 动画工房 
fate stay night heaven's feel 剧场版,日本,2017年10月,热血 冒险 奇幻 剧场版 ufotable 
新机动战记高达W：无尽的华尔兹,日本,2000年之前,机战 热血 冒险 
轻羽飞扬,日本,2018年7月,运动 青春 热血 
ZOIDS WILD,日本,2018年7月,热血 OLM 
新刃牙-死囚篇,日本,2018年7月,热血 动作 TMS娱乐 
进击的巨人BD特典：飞翔吧！训练兵团,日本,热血,SATELIGHT 
砂和尚,日本,2010年之前,热血 
笑傲阴天剧场版,日本,2018年7月,热血 WIT STUDIO 
红线（超时空甩尾）,日本,运动,热血 独立电影 
热血高校动画版,日本,2000年之前,热血 动作 
湘南爆走族,日本,2000年之前,热血 
机甲猎兵,日本,2000年之前,机战 热血 
七合圣石战记,日本,热血,日昇动画 
游戏王DM,日本,2010年之前,热血 冒险 奇幻 
游戏王GX,日本,2010年之前,热血 冒险 奇幻 
魔法禁书目录第三季,日本,2018年10月,萝莉 电击文库 热血 轻小说 后宫 J.C.STAFF 
境界真人版,日本,热血,冒险 动作 
刃牙 第一季,日本,2010年之前,热血 动作 
刃牙 第二季,日本,热血,动作 
噬神者 共鸣作战,日本,2018年4月,游戏 机战 热血 
学园BASARA,日本,2018年10月,热血 动作 Brains Base 
黄金神威第二季,日本,2018年10月,热血 冒险 
强风吹拂,日本,2018年10月,运动 热血 
Radiant,日本,2018年10月,热血 Lerche 
火之丸相扑,日本,2018年10月,运动 热血 GONZO 
妖精的尾巴 最终章,日本,2018年10月,热血 冒险 奇幻 A-1 Pictures 
一拳超人第二季,日本,2018年7月,搞笑 热血 动作 J.C.STAFF 
Infini-T Force剧场版 飞鹰侠 再见了朋友,日本,2018年7月,科幻 热血 剧场版 龙之子Production 
假面骑士铠武,日本,真人,热血 奇幻 
假面骑士000,日本,真人,热血 奇幻 
FW：浜虎,日本,热血,
宇宙战士巴鲁迪奥斯,日本,2000年之前,机战 热血 剧场版 
圣斗士星矢 圣斗少女翔,日本,2018年10月,热血 
苍天之拳REGENESIS 第2期,日本,2018年10月,热血 
假面骑士555,日本,2010年之前,真人 热血 奇幻 
假面骑士w,日本,2010年之前,真人 热血 奇幻 
假面骑士Drive,日本,真人,热血 奇幻 
假面骑士KIVA,日本,2010年之前,真人 热血 奇幻 
假面骑士Fourze,日本,真人,热血 奇幻 
装甲骑兵,日本,2000年之前,科幻 热血 
假面骑士Black Rx,日本,2000年之前,真人 热血 奇幻 
凹凸世界,中国,搞笑,热血 冒险 
假面骑士BLACK,日本,2000年之前,真人 热血 奇幻 
假面骑士响鬼,日本,2010年之前,真人 热血 奇幻 
假面骑士亚马逊,日本,真人,热血 奇幻 
拳愿阿修罗,日本,2019年1月,热血 
横山光辉三国志,日本,2000年之前,热血 
路人超能100 II,日本,2019年1月,热血 BONES 
龙珠超 布罗利,日本,热血,
四驱兄弟第一季,日本,热血,励志 
海贼王STAMPEDE,日本,热血,
